device_id,UTC_datetime,UTC_date,UTC_time,datatype,satcount,U_bat_mV,bat_soc_pct,solar_I_mA,hdop,Latitude,Longitude,Altitude_m,speed_km_h,direction_deg,temperature_C,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,
243726,2024-09-02 20:03:05,2024-09-02,20:03:05,GPS,4,3826,43,0,1.5,62.637538999999997,20.887615000000000,-5,1,317,28,-104,267,-163,-34,-222,744,
243726,2024-09-02 20:22:52,2024-09-02,20:22:52,GPS,4,3826,43,0,1.5,62.638069000000002,20.887079000000000,-2,0,349,28,-97,221,-179,64,-178,754,
243726,2024-09-02 20:43:05,2024-09-02,20:43:05,GPS,4,3826,43,0,1.9,62.638966000000003,20.886652000000002,3,0,177,29,-33,177,-180,43,-206,808,
243726,2024-09-02 21:02:54,2024-09-02,21:02:54,GPS,4,3826,43,0,1.8,62.640064000000002,20.885639000000001,5,0,57,24,-234,133,-160,219,-423,945,
243726,2024-09-02 21:23:14,2024-09-02,21:23:14,GPS,5,3823,42,0,2.0,62.641295999999997,20.884126999999999,10,0,325,25,-194,169,-156,49,-287,1161,
243726,2024-09-02 21:42:54,2024-09-02,21:42:54,GPS,5,3823,42,0,1.9,62.642220000000002,20.883308000000000,-3,1,346,26,-149,138,-189,228,-386,933,
243726,2024-09-02 22:03:14,2024-09-02,22:03:14,GPS,7,3823,42,0,1.1,62.643456000000000,20.882747999999999,-5,0,27,28,-155,130,-176,149,-208,1184,
243726,2024-09-02 22:22:46,2024-09-02,22:22:46,GPS,7,3820,41,0,1.2,62.645015999999998,20.883274000000000,15,2,163,27,-192,140,-153,153,-275,1136,
243726,2024-09-02 22:42:47,2024-09-02,22:42:47,GPS,7,3820,41,0,1.2,62.645927000000000,20.883671000000000,-22,1,264,27,-101,320,-153,-33,-232,834,
243726,2024-09-02 23:03:05,2024-09-02,23:03:05,GPS,4,3820,41,0,1.9,62.646832000000003,20.883088999999998,-21,0,198,29,-224,56,-152,320,-359,864,
243726,2024-09-02 23:23:14,2024-09-02,23:23:14,GPS,6,3820,41,0,1.3,62.648105999999999,20.883597999999999,2,0,302,29,-131,148,-175,296,-345,1138,
243726,2024-09-02 23:42:47,2024-09-02,23:42:47,GPS,6,3817,41,0,1.3,62.648392000000001,20.881837999999998,-7,0,68,29,-218,150,-157,35,-277,1186,
243726,2024-09-03 00:03:14,2024-09-03,00:03:14,GPS,9,3820,41,0,1.1,62.649509000000002,20.883101000000000,16,0,304,29,-233,113,-136,26,-290,1111,
243726,2024-09-03 00:22:45,2024-09-03,00:22:45,GPS,9,3817,41,0,1.0,62.650295000000000,20.881896999999999,17,0,292,29,-155,57,-182,69,-211,874,
243726,2024-09-03 00:42:45,2024-09-03,00:42:45,GPS,8,3817,41,0,1.0,62.650748999999998,20.880447000000000,6,1,18,29,-172,134,-162,18,-184,807,
243726,2024-09-03 01:03:14,2024-09-03,01:03:14,GPS,10,3817,41,0,0.8,62.651310000000002,20.879992999999999,-7,1,302,31,-228,103,-108,217,-175,823,
