device+AF8-id,UTC+AF8-datetime,UTC+AF8-date,UTC+AF8-time,datatype,satcount,U+AF8-bat+AF8-mV,bat+AF8-soc+AF8-pct,solar+AF8-I+AF8-mA,hdop,Latitude,Longitude,Altitude+AF8-m,speed+AF8-km+AF8-h,direction+AF8-deg,temperature+AF8-C,mag+AF8-x,mag+AF8-y,mag+AF8-z,acc+AF8-x,acc+AF8-y,acc+AF8-z
243726,2025+AC0-03+AC0-19 00:07:35,2025+AC0-03+AC0-19,00:07:35,GPS,7,3848,49,0,0.9,+AC0-0.422476000000000,32.651725999999996,1123,1,240,33,238,326,448,32,+AC0-163,766
243726,2025+AC0-03+AC0-19 00:27:35,2025+AC0-03+AC0-19,00:27:35,GPS,7,3848,49,0,0.9,+AC0-0.421564000000000,32.651257000000001,1145,0,291,35,7,348,491,195,+AC0-185,722
243726,2025+AC0-03+AC0-19 00:47:35,2025+AC0-03+AC0-19,00:47:35,GPS,6,3848,49,0,1.0,+AC0-0.420721000000000,32.651318000000003,1091,1,35,31,323,303,349,110,+AC0-162,977
243726,2025+AC0-03+AC0-19 01:07:38,2025+AC0-03+AC0-19,01:07:38,GPS,5,3848,49,0,1.3,+AC0-0.420612000000000,32.651195999999999,1035,1,136,31,440,83,402,251,+AC0-277,933
243726,2025+AC0-03+AC0-19 01:27:49,2025+AC0-03+AC0-19,01:27:49,GPS,5,3845,49,0,1.4,+AC0-0.436241000000000,32.616371000000001,1134,1,196,28,391,+AC0-22,550,17,72,1324
243726,2025+AC0-03+AC0-19 01:47:38,2025+AC0-03+AC0-19,01:47:38,GPS,4,3845,49,0,1.7,+AC0-0.436251000000000,32.616501000000000,1234,0,130,33,138,+AC0-339,446,42,+AC0-138,1032
243726,2025+AC0-03+AC0-19 02:08:05,2025+AC0-03+AC0-19,02:08:05,GPS,8,3845,49,0,0.8,+AC0-0.437287000000000,32.616225999999997,1130,0,185,32,+AC0-3,+AC0-317,490,65,+AC0-55,1040
243726,2025+AC0-03+AC0-19 02:27:35,2025+AC0-03+AC0-19,02:27:35,GPS,8,3842,48,0,0.8,+AC0-0.438890000000000,32.615856000000001,1122,1,254,32,+AC0-26,+AC0-288,519,91,+AC0-130,902
243726,2025+AC0-03+AC0-19 02:47:35,2025+AC0-03+AC0-19,02:47:35,GPS,8,3845,49,0,0.9,+AC0-0.440497000000000,32.615696000000000,1113,1,187,31,+AC0-48,+AC0-268,516,145,+AC0-192,1179
243726,2025+AC0-03+AC0-19 03:07:35,2025+AC0-03+AC0-19,03:07:35,GPS,7,3842,48,0,1.0,+AC0-0.442317000000000,32.615627000000003,1131,0,352,31,+AC0-137,+AC0-233,502,+AC0-45,+AC0-94,1055
243726,2025+AC0-03+AC0-19 03:27:40,2025+AC0-03+AC0-19,03:27:40,GPS,6,3842,48,0,1.7,+AC0-0.444003000000000,32.615681000000002,1109,1,155,32,+AC0-54,+AC0-270,537,136,+AC0-144,1177
243726,2025+AC0-03+AC0-19 03:47:35,2025+AC0-03+AC0-19,03:47:35,GPS,7,3842,48,0,1.2,+AC0-0.446301000000000,32.616940000000000,1128,1,141,34,+AC0-242,10,550,94,+AC0-67,1027
243726,2025+AC0-03+AC0-19 04:08:05,2025+AC0-03+AC0-19,04:08:05,GPS,9,3842,48,0,0.9,+AC0-0.447358000000000,32.618049999999997,1134,1,114,34,+AC0-234,+AC0-37,557,41,+AC0-150,895
243726,2025+AC0-03+AC0-19 04:27:35,2025+AC0-03+AC0-19,04:27:35,GPS,9,3842,48,0,1.0,+AC0-0.448144000000000,32.620060000000002,1128,0,220,32,199,+AC0-301,489,75,+AC0-227,1056
243726,2025+AC0-03+AC0-19 04:47:35,2025+AC0-03+AC0-19,04:47:35,GPS,8,3842,48,0,1.1,+AC0-0.448843000000000,32.622031999999997,1134,0,313,33,+AC0-203,+AC0-155,512,42,+AC0-134,937
243726,2025+AC0-03+AC0-19 05:07:35,2025+AC0-03+AC0-19,05:07:35,GPS,8,3842,48,0,1.2,+AC0-0.449419000000000,32.623322000000002,1140,1,74,35,24,+AC0-335,432,+AC0-156,+AC0-91,1098
243726,2025+AC0-03+AC0-19 05:27:35,2025+AC0-03+AC0-19,05:27:35,GPS,8,3837,46,0,1.3,+AC0-0.452617000000000,32.613052000000003,1135,2,312,32,135,+AC0-145,686,564,+AC0-126,607
243726,2025+AC0-03+AC0-19 05:47:35,2025+AC0-03+AC0-19,05:47:35,GPS,8,3831,45,0,1.3,+AC0-0.452547000000000,32.616013000000002,1138,0,57,31,+AC0-167,+AC0-233,453,+AC0-163,+AC0-165,771
243726,2025+AC0-03+AC0-19 06:07:35,2025+AC0-03+AC0-19,06:07:35,GPS,7,3831,45,0,1.4,+AC0-0.453541000000000,32.618766999999998,1128,0,95,32,+AC0-163,+AC0-223,469,+AC0-115,+AC0-193,1021
243726,2025+AC0-03+AC0-19 06:27:35,2025+AC0-03+AC0-19,06:27:35,GPS,6,3831,45,0,1.6,+AC0-0.456650000000000,32.623154000000000,1145,0,72,31,+AC0-238,49,569,146,+AC0-260,1039
243726,2025+AC0-03+AC0-19 06:47:37,2025+AC0-03+AC0-19,06:47:37,GPS,6,3831,45,0,1.7,+AC0-0.457041000000000,32.626465000000003,1125,0,228,30,+AC0-260,197,499,41,+AC0-17,1158
243726,2025+AC0-03+AC0-19 07:07:37,2025+AC0-03+AC0-19,07:07:37,GPS,6,3831,45,0,1.8,+AC0-0.457729000000000,32.630363000000003,1130,0,343,30,+AC0-249,180,491,133,+AC0-154,1221
243726,2025+AC0-03+AC0-19 07:28:35,2025+AC0-03+AC0-19,07:28:35,GPS,8,3831,45,0,0.8,+AC0-0.457643000000000,32.634028999999998,1140,0,73,33,+AC0-204,+AC0-122,529,162,+AC0-182,1065
243726,2025+AC0-03+AC0-19 07:47:35,2025+AC0-03+AC0-19,07:47:35,GPS,7,3828,44,0,0.9,+AC0-0.456856000000000,32.636046999999998,1148,2,78,32,+AC0-98,+AC0-270,491,+AC0-182,+AC0-340,1187
243726,2025+AC0-03+AC0-19 08:07:35,2025+AC0-03+AC0-19,08:07:35,GPS,7,3831,45,1,0.9,+AC0-0.464134000000000,32.631473999999997,1179,8,330,27,89,+AC0-300,471,161,+AC0-469,1043
243726,2025+AC0-03+AC0-19 08:27:35,2025+AC0-03+AC0-19,08:27:35,GPS,7,3834,45,1,0.9,+AC0-0.481820000000000,32.626125000000002,1185,25,195,26,+AC0-135,+AC0-108,610,31,+AC0-462,1219
